Provider_Number,STATUS,FYB,FYE,Hospital_Name,Street_Address,City,PO_Box,State,Zip_Code,County,MSA,RPT_REC_NUM,FY,IME_PART_A,IME_PART_C,IME_Capital_PPS,Total_IME_Payments,DSH_Part_A,DSH_Part_C,Total_DSH_Payments,DGME_Part_A_and_C,DGME_Part_B,Total_DGME_Payments,Hospital_Beds,Labor_Delivery_Beds,Total_Hosp_Beds,Total_Hosp_Medicare_Days,Total_Hosp_Medicaid_Days,Total_Hosp_Days,Total_Hosp_Bed_Days_Available,Interns_and_Residents,Total_Hosp_Employees_on_Payroll,Total_Hosp_Nonpaid_Workers,Total_Hosp_CHIP_Discharges,Total_Hosp_Medicare_Discharges,Total_Hosp_Medicaid_Discharges,Total_Hosp_Discharges,Medicaid_HMO_Discharges,Medicaid_HMO_IPF_Subp_Discharges,Medicaid_HMO_IRF_Subp_Discharges,Medicaid_IPF_Subp_Discharges,Medicaid_IRF_Subp_Discharges,Total_IPF_Subp_Discharges,Total_IRF_Subp_Discharges
113036,AS_SUBMITTED,09/15/2023,09/30/2024,ENCOMPASS HEALTH REHABILITATION HOSP,8321 VETERANS PARKWAY,COLUMBUS,,GA,31909,MUSCOGEE,1800,797145,2023,0,0,0,0,0,0,0,0,0,0,40,0,40,10616,104,11943,15280,0,118.95,0,0,890,9,991,5,0,0,0,0,0,0
113300,AS_SUBMITTED,01/01/2023,12/31/2023,EGLESTON CHILDRENS HOSPITAL AT EMORY,1405 CLIFTON ROAD,ATLANTA,,GA,30322-1101,DEKALB,520,774257,2023,0,0,0,0,0,0,0,0,13037,13037,330,0,330,650,20213,92101,120450,198.91,3058.2,0,0,109,2466,11607,4202,0,0,0,0,0,0
113301,AS_SUBMITTED,01/01/2023,12/31/2023,SCOTTISH RITE CHILDRENS MEDICAL CTR,1001 JOHNSON FERRY RD,ATLANTA,,GA,30329-2303,FULTON,520,774113,2023,0,0,0,0,0,0,0,0,121,121,319,0,319,21,17301,89056,116435,34.94,3042.91,0,0,5,2321,15722,5292,0,0,0,0,0,0
114004,AS_SUBMITTED,01/01/2023,12/31/2023,SUMMITRIDGE HOSPITAL,250 SCENIC HIGHWAY,LAWRENCEVILLE,,GA,30045,GWINNETT,520,775045,2023,0,0,0,0,0,0,0,0,0,0,96,0,96,6173,0,36438,35040,0,93.9,0,0,482,0,4494,0,0,0,0,0,0,0
114008,AS_SUBMITTED,01/01/2023,12/31/2023,COASTAL HARBOR TREATMENT CENTER,1150 CORNELL AVENUE,SAVANNAH,,GA,31406,CHATHAM,7520,769405,2023,0,0,0,0,0,0,0,0,0,0,94,0,94,880,0,19564,29170,0,113.64,0,0,88,0,2626,0,0,0,0,0,0,0
114010,AS_SUBMITTED,01/01/2023,12/31/2023,UHS OF PEACHFORD LP,2151 PEACHFORD ROAD,ATLANTA,,GA,30338,,520,773063,2023,0,0,0,0,0,0,0,0,0,0,246,0,246,4030,0,60218,89790,0,337.83,0,0,330,0,8336,2373,0,0,0,0,0,0
114012,AS_SUBMITTED,01/01/2023,12/31/2023,RIDGEVIEW INSTITUTE SMYRNA,3995 SOUTH COBB DRIVE,SMYRNA,,GA,30080,COBB,520,775353,2023,0,0,0,0,0,0,0,0,0,0,188,0,188,4492,100,50055,68620,0,296.8,0,0,392,6,6275,1627,0,0,0,0,0,0
114013,SETTLED,07/01/2023,06/30/2024,WEST CENTRAL GA REGIONAL HOSPITAL,3000 SCHATULGA ROAD,COLUMBUS,,GA,31905,MUSCOGEE,1800,794148,2023,0,0,0,0,0,0,0,0,0,0,40,0,40,1,0,9701,14640,0,500,0,0,1,0,84,0,0,0,0,0,0,0
114016,SETTLED,01/01/2023,12/31/2023,ST. SIMONS BY THE SEA,2927 DEMERE ROAD,ST. SIMONS ISLAND,,GA,31522,,0,796007,2023,0,0,0,0,0,0,0,0,0,0,101,0,101,1026,0,18492,36865,0,130.8,0,0,119,0,2497,871,0,0,0,0,0,0
114019,SETTLED,07/01/2023,06/30/2024,GEORGIA REGIONAL HOSPITAL AT ATLANTA,3073 PANTHERSVILLE ROAD,DECATUR,,GA,30034,DEKALB,520,794149,2023,0,0,0,0,0,0,0,0,0,0,114,0,114,27,0,39882,41724,0,880,0,0,2,0,1006,0,0,0,0,0,0,0
114028,SETTLED,07/01/2023,06/30/2024,GA REGIONAL HOSPITAL AT SAVANNAH,1915 EISENHOWER DR,SAVANNAH,,GA,31406,,7520,794150,2023,0,0,0,0,0,0,0,0,0,0,112,0,112,0,0,25411,40880,0,337,0,0,0,0,388,0,0,0,0,0,0,0
114029,SETTLED,07/01/2023,06/30/2024,EAST CENTRAL REGIONAL HOSPITAL,3405 MIKE PADGET HWY,AUGUSTA,,GA,30906,RICHMOND,600,794151,2023,0,0,0,0,0,0,0,0,0,0,110,0,110,20,0,27654,40260,0,639,0,0,714,0,714,0,0,0,0,0,0,0
114032,AS_SUBMITTED,01/01/2023,12/31/2023,SOUTHERN CRESCENT HOSPITAL,255454 YORKTOWNE DRIVE,COLLEGE PARK,,GA,30349,CLAYTON,520,771938,2023,0,0,0,0,0,0,0,0,0,0,122,0,122,2702,0,33885,44530,0,126.45,0,0,236,0,4002,0,0,0,0,0,0,0
114035,AMENDED,01/01/2023,12/31/2023,RIVERWOODS BEHAVIORAL HEALTH SYSTEM,223 MEDICAL CENTER DRIVE,RIVERDALE,,GA,30274,CLAYTON,520,783805,2023,0,0,0,0,0,0,0,0,0,0,223,0,223,4002,0,59581,81395,0,345.76,0,0,413,0,8460,0,0,0,0,0,0,0
114036,AS_SUBMITTED,01/01/2023,12/31/2023,ACADIA GREENLEAF HOSPITAL,2209 PINEVIEW DRIVE,VALDOSTA,,GA,31602,,0,774258,2023,0,0,0,0,0,0,0,0,0,0,113,0,113,4361,0,38035,41245,0,219.1,0,0,329,0,4074,0,0,0,0,0,0,0
114037,AS_SUBMITTED,01/01/2023,12/31/2023,RIDGEVIEW INSTITUTE MONROE,709 BREEDLOVE DR.,MONROE,,GA,30655,WALTON,520,775354,2023,0,0,0,0,0,0,0,0,0,0,111,0,111,979,103,34795,40515,0,193.1,0,0,87,30,3713,2545,0,0,0,0,0,0
120001,AS_SUBMITTED,07/01/2023,06/30/2024,THE QUEENS MEDICAL CENTER,1301 PUNCHBOWL STREET,HONOLULU,861,HI,96813,HONOLULU,3320,794588,2023,8765968,0,431942,9197910,5188289,0,5188289,4029681,2150944,6180625,674,9,683,40966,1499,225174,249978,108.58,4836.26,0,0,5861,193,33202,7375,0,0,0,0,0,0
120002,AS_SUBMITTED,01/01/2023,12/31/2023,MAUI MEMORIAL MEDICAL CENTER,221 MAHALANI STREET,WAILUKU,,HI,96793,MAUI,0,776593,2023,0,0,0,0,575038,0,575038,0,0,0,219,0,219,9020,10791,66808,79935,0,1300.76,0,0,1289,2743,8417,156,0,0,0,0,0,0
120004,AS_SUBMITTED,07/01/2023,04/01/2024,WAHIAWA GENERAL HOSPITAL,128 LEHUA STREET,WAHIAWA,,HI,96786,HONOLULU,3320,777505,2023,6036,0,1192,7228,22964,0,22964,14968,6365,21333,66,0,66,674,0,3648,18216,0.43,198.46,0,0,135,0,462,96,0,0,0,0,0,0
120005,AS_SUBMITTED,07/01/2023,06/30/2024,HILO MEDICAL CENTER,1190 WAIANUENUE AVENUE,HILO,,HI,96720,HAWAII,0,791869,2023,1033208,0,58772,1091980,702560,0,702560,540648,406370,947018,194,0,194,10436,14319,57023,71004,16.44,1238.94,0,0,1689,2422,8023,784,0,0,0,0,0,0
120006,AS_SUBMITTED,01/01/2023,12/31/2023,ADVENTIST HEALTH CASTLE,640 ULUKAHIKI ST,KAILUA,,HI,96734,HONOLULU,3320,776875,2023,0,0,0,0,711319,0,711319,0,0,0,142,0,142,5413,61,25738,51830,0,1098.19,0,0,1232,10,6257,1511,0,0,0,0,0,0
120007,AS_SUBMITTED,07/01/2023,06/30/2024,KUAKINI MEDICAL CENTER,347 N. KUAKINI STREET,HONOLULU,,HI,96717-,HONOLULU,3320,793218,2023,783109,0,75013,858122,362056,0,362056,726774,349717,1076491,170,0,170,6022,13,25683,62220,13.92,679.52,0,0,867,3,3490,566,0,0,0,0,0,0
120011,AS_SUBMITTED,01/01/2023,12/31/2023,KFH-HAWAII,3288 MOANALUA ROAD,HONOLULU,,HI,96819-1495,HONOLULU,3320,776002,2023,94609,0,7573,102182,111488,0,111488,275723,51063,326786,276,0,276,2350,1319,53494,103197,26.37,1362.03,0,0,404,0,10189,2026,0,0,0,0,0,0
120014,AS_SUBMITTED,07/01/2023,06/30/2024,WILCOX MEMORIAL HOSPTIAL,3-3420 KUHIO HIGHWAY,LIHUE,,HI,96766-,KAUAI,0,794346,2023,0,0,0,0,276618,0,276618,0,0,0,72,0,72,3611,10,17034,26352,0,442.99,0,0,691,3,3238,943,0,0,0,0,0,0
120019,AS_SUBMITTED,07/01/2023,06/30/2024,KONA COMMUNITY HOSPITAL,79-1019 HAUKAPILA STREET,KEALAKEKUA,69,HI,96750,HAWAII,0,795215,2023,0,0,0,0,223287,0,223287,0,0,0,83,0,83,3377,10243,22078,30378,0,453.63,0,0,545,1054,3309,0,0,0,103,0,224,0
120022,AMENDED,07/01/2023,06/30/2024,STRAUB CLINIC & HOSPITAL,888 S. KING STREET,HONOLULU,,HI,96813-,HONOLULU,3320,795806,2023,1206595,0,54722,1261317,1239547,0,1239547,334188,261417,595605,159,0,159,11474,14,48538,58194,9.82,1558.18,0,0,1948,6,7229,1271,0,0,0,0,0,0
120026,AS_SUBMITTED,07/01/2023,06/30/2024,PALI MOMI MEDICAL CENTER,98-1079 MOANALUA ROAD,AIEA,,HI,96701-,HONOLULU,3320,794348,2023,1718277,0,76563,1794840,794453,0,794453,484497,345204,829701,118,0,118,9545,38,37065,43188,17.36,977.02,0,0,1742,11,6117,1009,0,0,0,0,0,0
120028,AS_SUBMITTED,07/01/2023,06/30/2024,QUEENS NORTH HAWAII COMMUNITY HOSPI,67-1125 MAMALAHOA HIGHWAY,KAMUELA,,HI,96743,HAWAII,0,792815,2023,0,0,0,0,118478,0,118478,0,0,0,33,0,33,1180,1898,6625,12078,0,270.19,0,0,316,520,1966,0,0,0,0,0,0,0
121300,AMENDED,07/01/2023,06/30/2024,KAUAI VETERANS MEMORIAL HOSPITAL,4643 WAIMEA CANYON ROAD,WAIMEA KAUAI,337,HI,96796-0337,HAWAII,0,794938,2023,0,0,0,0,0,0,0,0,0,0,25,0,25,663,1290,4470,9150,0,226,0,0,78,308,1102,0,0,0,0,0,0,0
121301,AS_SUBMITTED,07/01/2023,06/30/2024,KAU HOSPITAL,1 KAMANI STREET,PAHALA,,HI,96777,HAWAII,0,794350,2023,0,0,0,0,0,0,0,0,0,0,21,0,21,459,5162,6108,7686,0,78.08,0,0,0,0,1,0,0,0,0,0,0,0
121302,AS_SUBMITTED,07/01/2023,06/30/2024,KOHALA HOSPITAL,54-383 OLD HOSPITAL ROAD,KAPAAU,10,HI,96755,HAWAII,0,791870,2023,0,0,0,0,0,0,0,0,0,0,25,0,25,496,3909,6104,9150,0,69.92,0,0,2,0,2,0,0,0,0,0,0,0
121303,AS_SUBMITTED,07/01/2023,06/30/2024,MOLOKAI GENERAL HOSPITAL,280 HOME OLU PLACE,KAUNAKAKAI,408,HI,96748,MAUI,0,793627,2023,0,0,0,0,0,0,0,0,0,0,15,0,15,169,97,721,5490,0,65.38,0,0,30,28,130,0,0,0,0,0,0,0
121304,AS_SUBMITTED,07/01/2023,06/30/2024,KAHUKU MEDICAL CENTER,HAWHA,KAHUKU,,HI,96731,HONOLULU,3320,791871,2023,0,0,0,0,0,0,0,0,0,0,21,0,21,1696,1059,6727,7686,0,133.2,0,0,6,4,20,0,0,0,0,0,0,0
121305,AS_SUBMITTED,01/01/2023,12/31/2023,LANAI COMMUNITY HOSPITAL,628 7TH STREET,LANAI,797,HI,96763,MAUI,0,773953,2023,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,1460,0,19.88,0,0,0,0,1,0,0,0,0,0,0,0
121306,AS_SUBMITTED,07/01/2023,06/30/2024,SAMUEL MAHELONA MEMORIAL HOSPITAL,4800 KAWAIHAU ROAD,KAPAA  KAUAI,,HI,96746,HAWAII,0,794590,2023,0,0,0,0,0,0,0,0,0,0,5,0,5,20,42,153,1830,0,72.64,0,0,0,0,1,0,0,0,107,0,217,0
121307,AS_SUBMITTED,07/01/2023,06/30/2024,HALE HOOLA HAMAKUA,45 - 547 PLUMERIA STREET,HONOKAA,,HI,96727,HAWAII,0,794351,2023,0,0,0,0,0,0,0,0,0,0,11,0,11,1089,0,2505,4026,0,68.46,0,0,0,0,1,0,0,0,0,0,0,0
121308,AS_SUBMITTED,01/01/2023,12/31/2023,KULA HOSPITAL,100 KEOKEA PLACE,KULA,,HI,96790,MAUI,0,773954,2023,0,0,0,0,0,0,0,0,0,0,9,0,9,392,0,1328,3285,0,89.92,0,0,0,0,13,0,0,0,0,0,0,0
122001,SETTLED,07/01/2023,06/30/2024,LEAHI HOSPITAL,3675 KILAUEA AVENUE,HONOLULU,,HI,96816,HONOLULU,3320,796168,2023,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,60,1830,0,0,0,0,0,0,2,0,0,0,0,0,0,0
123025,AS_SUBMITTED,10/01/2022,09/30/2023,REHABILITATION HOSPITAL OF THE PACIF,226 N. KUAKINI STREET,HONOLULU,,HI,96817-2421,,3320,764167,2023,0,0,0,0,0,0,0,0,0,0,82,0,82,4618,4848,20767,29930,0,293,0,0,351,269,1339,0,0,0,0,0,0,0
123300,AS_SUBMITTED,07/01/2023,06/30/2024,KAPIOLANI MED CTR FOR WOMEN & CHILDR,1319 PUNAHOU STREET,HONOLULU,,HI,96826-,HONOLULU,3320,792573,2023,0,0,0,0,0,0,0,0,43876,43876,253,0,253,219,24,67195,92598,49.87,1248.62,0,0,44,8,9517,8026,0,0,0,0,0,0
123301,SETTLED,01/01/2023,12/31/2023,SHRINERS HOSPITAL FOR CHILDREN,1310 PUNAHOU STREET,HONOLULU,,HI,96826,,3320,782134,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124001,SETTLED,01/01/2023,12/31/2023,SUTTER PACIFIC KAHI MOHALA HOSP,91-2301 FORT WEAVER ROAD,EWA BEACH,,HI,96706-,HONOLULU,3320,784631,2023,0,0,0,0,0,0,0,0,0,0,88,0,88,0,1366,7262,32120,0,166.6,0,0,0,103,312,0,0,0,0,0,0,0
130002,AS_SUBMITTED,10/01/2022,09/30/2023,ST LUKES MAGIC VALLEY REG MED CTR,801 POLE LINE ROAD WEST,TWIN FALLS,409,ID,83301,TWIN FALLS,0,766866,2023,0,0,0,0,605603,0,605603,0,0,0,175,11,186,8144,3442,33897,67735,0,1912.57,0,0,1853,2920,10510,0,0,0,376,44,767,229
130003,AS_SUBMITTED,07/01/2023,06/30/2024,ST JOSEPH REGIONAL MEDICAL CENTER,415 SIXTH STREET,LEWISTON,816,ID,83501,NEZ PERCE,0,794353,2023,0,0,0,0,223991,0,223991,0,0,0,108,0,108,4557,1091,10273,39602,0,490.39,0,0,1254,419,3342,178,83,0,107,0,420,48
130006,AS_SUBMITTED,10/01/2022,09/30/2023,ST. LUKES REGIONAL MEDICAL CENTER,190 EAST BANNOCK,BOISE,,ID,83712-,ADA,1080,767279,2023,477110,0,30211,507321,2686655,0,2686655,125071,181800,306871,560,26,586,21943,31175,128771,213890,8.24,6955.09,0,0,4713,5462,27125,0,0,0,0,67,0,461
130007,AS_SUBMITTED,07/01/2023,06/30/2024,ST. ALPHONSUS REGIONAL MED CENTER,1055 NORTH CURTIS ROAD,BOISE,,ID,83706-1309,ADA,1080,793421,2023,987579,0,66595,1054174,1773753,0,1773753,416236,345665,761901,374,6,380,18680,20472,83304,139080,13.39,3271.58,0,0,3557,3426,17416,0,0,0,0,0,0,0
130013,AS_SUBMITTED,07/01/2023,06/30/2024,ST. ALPHONSUS MEDICAL CENTER - NAMP,1512 12TH AVE ROAD,NAMPA,,ID,83686,CANYON,1080,794152,2023,0,0,0,0,352153,0,352153,0,0,0,96,10,106,6131,5884,26920,38796,0,893.35,0,0,1193,1869,7849,0,0,0,0,0,0,0
130014,AS_SUBMITTED,10/01/2022,09/30/2023,WEST VALLEY MEDICAL CENTER,1717 ARLINGTON,CALDWELL,,ID,83605-,CANYON,1080,767280,2023,116796,0,15382,132178,385288,0,385288,103477,98792,202269,112,6,118,2468,3674,12891,43070,6.19,396.54,0,0,603,865,3420,37,0,0,0,0,0,0
130018,AMENDED,10/01/2022,09/30/2023,EASTERN IDAHO REGIONAL MEDICAL CENTE,3100 CHANNING WAY,IDAHO FALLS,2077,ID,83403,,0,787829,2023,3138837,0,240877,3379714,1697901,0,1697901,1456436,577729,2034165,246,0,246,9969,14170,48994,87183,48.43,1060.11,0,0,2272,2120,9388,0,0,0,578,45,1330,360
130025,AS_SUBMITTED,10/01/2022,09/30/2023,MADISON MEMORIAL HOSPITAL,450 EAST MAIN ST,REXBURG,310,ID,83440-0310,MADISON,0,761638,2023,37466,0,4335,41801,56595,0,56595,7896,18240,26136,53,0,53,747,2886,7711,19345,1.92,535.48,0,0,204,539,1942,3,0,0,152,0,395,0
130028,AS_SUBMITTED,01/01/2023,12/31/2023,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,POCATELLO,,ID,83201-5175,BANNOCK,6340,777050,2023,1651945,0,109649,1761594,1037731,0,1037731,545572,493454,1039026,141,10,151,9048,8609,37855,52252,23.07,1089.29,0,0,2054,1604,8191,893,0,4,215,20,520,241
130049,AS_SUBMITTED,01/01/2023,12/31/2023,KOOTENAI HOSPITAL DISTRICT,2003 KOOTENAI HEALTH WAY,COEUR DALENE,,ID,83814-,KOOTENAI,0,775688,2023,1911977,0,111469,2023446,1903517,0,1903517,448338,421512,869850,326,0,326,21850,18383,79104,118990,21.27,3274.16,0,0,4766,2788,16921,406,0,0,0,0,0,0
130063,AS_SUBMITTED,01/01/2023,12/31/2023,TREASURE VALLEY HOSPITAL,8800 WEST EMERALD STREET  100,BOISE,,ID,83704,ADA,1080,776003,2023,0,0,0,0,0,0,0,0,0,0,28,0,28,96,0,367,10220,0,254,0,0,65,0,233,0,0,0,0,0,0,0
130065,AS_SUBMITTED,01/01/2023,12/31/2023,MOUNTAIN VIEW HOSPITAL,2325 CORONADO STREET,IDAHO FALLS,,ID,83404-,BONNEVILLE,0,775689,2023,0,0,0,0,94679,0,94679,0,0,0,43,0,43,387,3403,9853,15695,0,1496.2,0,0,191,553,2351,0,0,0,0,0,0,0
130066,AS_SUBMITTED,01/01/2023,12/31/2023,NORTHWEST SPECIALTY HOSPITAL,1593 E. POLSTON AVENUE,POST FALLS,,ID,83854,KOOTENAI,0,772892,2023,0,0,0,0,0,0,0,0,0,0,31,0,31,657,84,1924,11496,0,580.64,0,0,304,57,969,0,0,0,0,0,0,0
130071,AS_SUBMITTED,10/01/2022,09/30/2023,ST. LUKES NAMPA MEDICAL CENTER,9850 W. ST. LUKES DRIVE,NAMPA,,ID,83687,,1080,764502,2023,829409,0,57424,886833,237887,0,237887,374011,520661,894672,87,0,87,3647,4452,18832,31755,15.83,853.62,0,0,815,1100,4786,0,0,0,0,0,0,0
130073,SETTLED,01/01/2023,12/31/2023,GROVE CREEK MEDICAL CENTER,350 NORTH MERIDIAN STREET,BLACKFOOT,,ID,93221-1625,BINGHAM,8780,785218,2023,0,0,0,0,0,0,0,0,0,0,8,0,8,0,476,1387,2920,0,31.31,0,0,0,121,357,0,0,0,0,0,0,0
130074,AS_SUBMITTED,01/01/2023,12/31/2023,IDAHO FALLS COMMUNITY HOSPITAL,2327 CORONADO ST,IDAHO FALLS,,ID,83404,,0,776706,2023,0,0,0,0,131839,0,131839,0,0,0,88,0,88,4071,1497,11666,32120,0,384.11,0,0,1049,462,2981,0,0,0,0,0,0,0
131301,AS_SUBMITTED,01/01/2023,12/31/2023,BOUNDARY COMMUNITY HOSPITAL,6640 KANIKSU,BONNERS FERRY,,ID,83805,BOUNDARY,0,770026,2023,0,0,0,0,0,0,0,0,0,0,20,0,20,966,178,1887,7300,0,153.5,0,0,81,13,176,0,0,0,0,0,0,0
131302,AS_SUBMITTED,10/01/2022,09/30/2023,NORTH CANYON MEDICAL CENTER,267 NORTH CANYON DRIVE,GOODING,,ID,83330-,GOODING,0,763819,2023,0,0,0,0,0,0,0,0,0,0,16,0,16,559,100,1251,5840,0,271.34,0,0,127,44,338,14,0,0,0,0,0,0
131303,AS_SUBMITTED,07/01/2023,06/30/2024,ONEIDA COUNTY HOSPITAL,150 NORTH 200 WEST,MALAD CITY,126,ID,83252-0126,ONEIDA,0,792574,2023,0,0,0,0,0,0,0,0,0,0,11,0,11,602,28,842,4026,0,56.78,0,0,70,0,113,0,0,0,0,0,0,0
131304,AS_SUBMITTED,10/01/2022,09/30/2023,POWER COUNTY HOSPITAL DISTRICT,510 ROOSEVELT,AMERICAN FALLS,,ID,83211-,POWER,0,765174,2023,0,0,0,0,0,0,0,0,0,0,10,0,10,314,11,524,3650,0,70.33,0,0,21,6,46,0,0,0,0,0,0,0
131305,AS_SUBMITTED,10/01/2022,09/30/2023,STEELE MEMORIAL MEDICAL CENTER,203 S. DAISY STREET,SALMON,,ID,83467-,LEMHI,0,767033,2023,0,0,0,0,0,0,0,0,0,0,18,0,18,876,153,1332,6570,0,131.63,0,0,203,50,342,0,0,0,0,0,0,0
131307,AS_SUBMITTED,07/01/2023,06/30/2024,MEMORIAL HOSPITAL,645 E FIFTH STREET,WEISER,,ID,83672,WASHINGTON,0,795627,2023,0,0,0,0,0,0,0,0,0,0,24,0,24,342,36,819,8784,0,96.37,0,0,59,31,193,0,0,0,0,0,0,0
131308,AS_SUBMITTED,10/01/2022,09/30/2023,CASCADE MEDICAL CENTER,402 OLD STATE HIGHWAY,CASCADE,1330,ID,83611-0151,,0,764503,2023,0,0,0,0,0,0,0,0,0,0,8,0,8,59,2,168,2920,0,41.07,0,0,13,1,28,0,0,0,0,0,0,0
131309,AS_SUBMITTED,01/01/2023,12/31/2023,CARIBOU MEMORIAL HOSPITAL,300 SOUTH THIRD WEST,SODA SPRINGS,,ID,83276-,CARIBOU,0,774842,2023,0,0,0,0,0,0,0,0,0,0,25,0,25,708,150,1433,9125,0,141.65,0,0,88,33,510,0,0,0,0,0,0,0
131310,AS_SUBMITTED,10/01/2022,09/30/2023,ST. LUKES JEROME LTD,709 N. LINCOLN AVE,JEROME,586,ID,83338-1851,JEROME,0,764504,2023,0,0,0,0,0,0,0,0,0,0,15,0,15,944,615,2352,5475,0,102.92,0,0,38,32,140,0,0,0,0,0,0,0
131311,AS_SUBMITTED,10/01/2022,09/30/2023,ST. LUKES ELMORE MEDICAL CENTER,895 N. SIXTH EAST,MOUNTAIN HOME,,ID,83647-,ELMORE,0,764592,2023,0,0,0,0,0,0,0,0,0,0,20,0,20,677,348,2238,7300,0,182.88,0,0,114,184,773,0,0,0,0,0,0,0
131312,AMENDED,10/01/2022,09/30/2023,ST. LUKES MCCALL,1000 STATE STREET,MCCALL,906,ID,83638-,VALLEY,0,799797,2023,0,0,0,0,0,0,0,0,0,0,15,0,15,595,193,1438,5475,0,194.18,0,0,137,77,464,0,0,0,0,0,0,0
131313,AS_SUBMITTED,10/01/2022,09/30/2023,TETON VALLEY HOSPITAL,120 EAST HOWARD,DRIGGS,,ID,83422,TETON,0,766183,2023,0,0,0,0,0,0,0,0,0,0,13,0,13,591,25,863,4745,0,89.97,0,0,63,9,116,0,0,0,0,0,0,0
131314,AS_SUBMITTED,12/01/2022,11/30/2023,SHOSHONE MEDICAL CENTER,25 JACOBS GULCH,KELLOGG,,ID,83837,SHOSHONE,0,770027,2023,0,0,0,0,0,0,0,0,0,0,25,0,25,1006,82,1938,9125,0,90.82,0,0,131,27,253,0,0,0,0,0,0,0
131315,AS_SUBMITTED,10/01/2022,09/30/2023,SYRINGA GENERAL HOSPITAL,607 W. MAIN STREET,GRANGEVILLE,,ID,83530-,IDAHO,0,766434,2023,0,0,0,0,0,0,0,0,0,0,15,0,15,490,99,857,5475,0,121.91,0,0,133,41,252,0,0,0,0,0,0,0
131316,AS_SUBMITTED,01/01/2023,12/31/2023,BEAR LAKE MEMORIAL HOSPITAL,164 SOUTH 5TH,MONTPELIER,,ID,83254,BEAR LAKE,0,773955,2023,0,0,0,0,0,0,0,0,0,0,21,0,21,1072,100,1497,7665,0,131.55,0,0,138,32,245,0,0,0,0,0,0,0
131317,AS_SUBMITTED,01/01/2023,12/31/2023,BENEWAH COMMUNITY HOSPITAL,229 SEVENTH ST,ST MARIES,,ID,83861,BENEWAH,0,774843,2023,0,0,0,0,0,0,0,0,0,0,19,0,19,377,45,595,6935,0,94.48,0,0,70,10,115,0,0,0,0,0,0,0
131318,AS_SUBMITTED,10/01/2022,09/30/2023,WALTER KNOX MEMORIAL HOSPITAL,1202 EAST LOCUST,EMMETT,,ID,83617,GEM,0,764385,2023,0,0,0,0,0,0,0,0,0,0,13,0,13,212,91,659,4745,0,119.11,0,0,38,37,162,0,0,0,0,0,0,0
131319,AS_SUBMITTED,10/01/2022,09/30/2023,MINIDOKA MEMORIAL HOSPITAL,1224 8TH STREET,RUPERT,,ID,83350-,MINIDOKA,0,765080,2023,0,0,0,0,0,0,0,0,0,0,22,0,22,1024,133,1770,8030,0,239.65,0,0,132,46,328,0,0,0,0,0,0,0
131320,AS_SUBMITTED,01/01/2023,12/31/2023,CLEARWATER VALLEY HEALTH,301 CEDAR,OROFINO,,ID,83544-,CLEARWATER,0,774512,2023,0,0,0,0,0,0,0,0,0,0,23,0,23,1435,151,1995,8395,0,146.79,0,0,306,85,523,0,0,0,0,0,0,0
131321,AS_SUBMITTED,01/01/2023,12/31/2023,ST. MARYS HEALTH,701 LEWISTON ST.,COTTONWOOD,137,ID,83522-0137,LEWIS,0,772893,2023,0,0,0,0,0,0,0,0,0,0,25,0,25,589,102,943,9125,0,159.66,0,0,135,31,264,0,0,0,0,0,0,0
131322,AS_SUBMITTED,10/01/2022,09/30/2023,FRANKLIN COUNTY MEDICAL CENTER,44 NORTH FIRST EAST,PRESTON,,ID,83263-,FRANKLIN,0,764917,2023,0,0,0,0,0,0,0,0,0,0,20,0,20,1248,119,2588,7300,0,203.52,0,0,216,61,504,0,0,0,0,0,0,0
131323,AS_SUBMITTED,10/01/2022,09/30/2023,ST. LUKES WOOD RIVER MEDICAL CENTER,100 HOSPITAL DRIVE,KETCHUM,100,ID,83340,BLAINE,0,764918,2023,0,0,0,0,0,0,0,0,0,0,25,0,25,1022,385,2639,9125,0,286.87,0,0,273,124,827,0,0,0,0,0,0,0
131324,AS_SUBMITTED,10/01/2022,09/30/2023,LOST RIVERS HOSPITAL,551 HIGHLAND DRIVE,ARCO,,ID,83213,BUTTE,0,761050,2023,0,0,0,0,0,0,0,0,0,0,14,0,14,74,1,86,5110,0,65.89,0,0,11,1,12,0,0,0,0,0,0,0
131325,AS_SUBMITTED,01/01/2023,12/31/2023,BINGHAM MEMORIAL HOSPITAL,98 POPLAR,BLACKFOOT,,ID,83221-,BINGHAM,0,773010,2023,0,0,0,0,0,0,0,0,0,0,25,0,25,1658,806,4340,9125,0,769.29,0,0,359,271,1225,0,0,0,92,0,211,0
131326,AMENDED,01/01/2023,12/31/2023,CASSIA REGIONAL HOSPITAL,1501 HILAND AVE.,BURLEY,,ID,83318-,CASSIA,0,795986,2023,0,0,0,0,0,0,0,0,0,0,25,6,31,1330,1180,4440,11315,0,272.73,0,0,306,380,1316,3,0,0,0,0,0,0
